id,precio,tipo,valoraciones,puntaje,personas,dormitorios,banos,estadia,distancia,dependencias
93,200,Entire home/apt,9,4.5,4,2,0,2,1557.16284,12
94,44,Entire home/apt,67,5,2,1,2,2,692.6561757,0
95,27,Private room,9,5,2,1,1,3,335.2127312,11
96,45,Entire home/apt,0,0,1,0,0,1,1665.925346,2
97,99,Entire home/apt,64,5,2,1,0,3,296.1943678,6
98,120,Entire home/apt,1,4.5,5,3,0,5,816.0211973,54
99,130,Entire home/apt,1,5,5,3,2,5,646.3845134,1
100,55,Entire home/apt,1,4,3,1,1,7,1664.359836,83
101,72,Entire home/apt,111,5,2,1,1,3,479.866283,7
102,65,Entire home/apt,95,5,2,1,1,3,537.3781663,6
103,80,Entire home/apt,69,5,3,1,1,3,480.4620991,4
104,25,Private room,19,4,3,1,0,3,871.1315802,46
105,260,Entire home/apt,10,4.5,0,4,0,0,1066.367775,23
106,46,Entire home/apt,61,4.5,2,1,1,0,1768.786565,25
107,38,Entire home/apt,34,4.5,2,1,1,3,1880.574813,12
108,99,Entire home/apt,114,5,2,1,0,3,346.547323,7
109,50,Entire home/apt,51,4.5,3,1,1,3,1760.616911,14
110,40,Entire home/apt,13,4,2,1,1,5,918.0921556,35
111,55,Entire home/apt,90,5,3,1,1,3,620.6243281,8
112,49,Private room,0,0,2,1,0,1,1177.756784,26
113,100,Entire home/apt,19,4.5,4,2,0,5,419.2266776,2
114,23,Entire home/apt,95,5,3,2,1,5,833.2689131,20
115,75,Entire home/apt,53,4.5,2,0,1,3,1535.841153,20
116,390,Entire home/apt,0,0,0,4,2,3,1193.251076,15
117,90,Private room,0,0,2,1,1,1,1190.701047,59
118,23,Private room,13,5,1,1,0,1,1289.572435,3
119,50,Entire home/apt,20,4.5,3,1,1,3,941.337112,35
120,60,Entire home/apt,55,5,2,1,0,4,1414.983143,15
121,55,Entire home/apt,139,5,2,0,1,2,1226.62808,6
122,40,Entire home/apt,170,4.5,3,1,1,1,1705.990069,11
123,49,Entire home/apt,2,5,5,2,0,7,763.757562,23
124,29,Entire home/apt,1,4,3,1,1,7,1119.7855,27
125,33,Entire home/apt,74,4.5,2,1,1,4,288.0553619,6
126,35,Entire home/apt,36,4.5,2,1,1,2,1627.46444,10
127,45,Entire home/apt,82,4.5,2,0,1,3,1664.119512,9
128,60,Private room,0,0,1,1,2,2,326.2327841,1
129,50,Private room,1,4.5,2,1,1,1,1815.44562,2
130,35,Entire home/apt,4,4.5,2,1,1,5,588.1560875,22
131,50,Entire home/apt,16,4.5,4,1,1,3,657.2239016,26
132,40,Entire home/apt,14,4.5,2,1,1,5,731.7335802,23
133,35,Private room,34,5,1,1,2,2,1384.99374,34
134,47,Entire home/apt,52,5,2,1,1,2,1833.847168,23
135,50,Entire home/apt,7,4,2,1,1,3,543.9334768,1
136,32,Entire home/apt,19,5,2,1,1,6,1735.735546,14
137,60,Entire home/apt,37,4.5,3,1,1,2,1571.143414,8
138,24,Entire home/apt,26,4,4,1,0,3,1550.206206,2
139,40,Private room,7,4.5,2,1,0,2,1878.755046,4
140,33,Entire home/apt,1,5,2,0,1,7,279.3097671,8
141,70,Entire home/apt,47,5,2,1,1,3,352.3851526,7
142,90,Entire home/apt,51,4.5,2,2,1,4,838.9859919,9
143,150,Entire home/apt,3,5,4,2,0,7,1007.680279,31
144,36,Entire home/apt,18,5,2,1,1,5,1718.816556,13
145,28,Private room,16,4.5,1,1,0,7,535.697523,1
146,30,Entire home/apt,17,4.5,2,1,1,7,1705.417192,13
147,85,Private room,0,0,2,1,1,3,452.5420763,10
148,60,Entire home/apt,0,0,4,2,1,7,1429.905807,81
149,155,Entire home/apt,0,0,4,2,2,5,1017.087139,14
150,60,Entire home/apt,19,4.5,4,1,0,3,1065.407453,4
151,80,Entire home/apt,0,0,2,1,0,1,1695.219344,10
152,65,Entire home/apt,0,0,2,1,0,3,854.9699792,6
153,75,Entire home/apt,0,0,2,1,1,1,1834.519134,16
154,100,Entire home/apt,0,0,4,2,1,15,955.1456619,3
155,80,Entire home/apt,67,4.5,3,1,1,2,167.6279079,1
156,20,Shared room,0,0,1,1,1,1,273.4377572,7
157,33,Private room,3,4.5,2,1,0,2,878.8763365,9
158,70,Shared room,0,0,2,1,0,1,1945.228032,4
159,32,Private room,46,4.5,1,1,2,2,704.2946434,14
160,70,Entire home/apt,0,0,3,1,1,5,813.8197926,54
161,88,Entire home/apt,4,4.5,5,3,2,3,1053.634408,24
162,88,Entire home/apt,0,0,4,1,2,3,974.9153565,30
163,60,Entire home/apt,9,5,3,1,1,7,1690.108296,73
164,59,Entire home/apt,5,4.5,5,2,2,4,1529.787036,72
165,90,Entire home/apt,11,4,5,3,2,18,1750.82002,11
166,167,Entire home/apt,26,5,2,1,1,1,1156.260603,0
167,20,Private room,48,4.5,2,1,0,1,960.6774317,32
168,16,Private room,0,0,2,1,1,10,1634.446179,32
169,150,Entire home/apt,34,4.5,0,3,2,2,1840.708712,7
170,42,Entire home/apt,33,4.5,2,1,1,2,1797.857862,8
171,70,Private room,0,0,1,1,0,1,66.89091686,1
172,399,Entire home/apt,14,4.5,0,7,5,3,1187.599237,59
173,70,Entire home/apt,81,5,4,1,1,2,923.4150406,53
174,400,Private room,0,0,1,1,1,1,757.6015035,15
175,32,Private room,0,0,2,1,1,1,711.163521,0
176,25,Shared room,0,0,2,1,2,1,734.4976841,13
177,72,Entire home/apt,76,4.5,4,1,1,3,1202.043118,4
178,30,Entire home/apt,22,4.5,4,1,1,10,1400.128906,6
179,100,Entire home/apt,13,4.5,4,1,0,2,542.6774953,5
180,100,Entire home/apt,23,5,2,1,0,2,770.2409173,14
181,48,Private room,0,0,1,1,2,1,1717.148586,5
182,55,Entire home/apt,0,0,3,2,0,7,1621.058394,5
183,35,Private room,0,0,2,1,2,3,735.8561843,11
184,85,Entire home/apt,7,5,4,1,0,2,1652.111599,3
185,45,Private room,5,5,3,1,1,2,1566.760505,3
186,57,Entire home/apt,7,5,2,1,1,7,1148.283336,9
187,32,Entire home/apt,12,5,2,1,1,7,1414.943336,4
188,170,Entire home/apt,0,0,4,2,0,1,315.0137838,0
189,45,Private room,3,4.5,2,1,1,4,463.9613562,27
190,110,Entire home/apt,17,5,4,1,0,4,1822.345089,8
191,100,Entire home/apt,0,0,4,1,0,2,1563.727603,38
192,350,Private room,0,0,3,1,1,14,1089.291177,37
193,50,Private room,0,0,2,1,0,1,587.5097219,0
194,200,Entire home/apt,7,4.5,5,2,0,4,1018.392381,5
195,30,Private room,10,4.5,2,1,0,4,390.1589558,2
196,40,Entire home/apt,0,0,2,1,1,7,1286.056003,29
197,43,Entire home/apt,6,4.5,2,1,1,7,693.4609768,3
198,50,Entire home/apt,32,5,2,1,1,3,1690.879153,9
199,120,Entire home/apt,0,0,3,1,1,1,534.7610135,1
200,43,Entire home/apt,40,4.5,2,1,1,2,1195.072487,1
201,100,Private room,0,0,2,1,0,1,973.3990839,31
202,50,Private room,9,5,2,1,1,3,422.3607563,6
203,20,Private room,32,5,2,1,0,3,1135.153468,7
204,35,Private room,0,0,1,1,0,1,1206.669446,1
205,60,Entire home/apt,45,5,2,1,1,3,1716.615482,9
206,90,Entire home/apt,3,5,2,1,0,2,1779.937119,8
207,29,Entire home/apt,24,4.5,2,1,1,7,1479.384777,5
208,12,Private room,8,4,4,1,1,3,441.8258027,0
209,85,Entire home/apt,4,5,4,2,0,7,802.1439097,22
210,80,Entire home/apt,41,5,2,1,1,3,309.3810385,7
211,70,Entire home/apt,93,5,2,1,1,3,540.8992181,7
212,80,Entire home/apt,2,5,2,1,1,3,576.6689452,6
213,25,Private room,3,4,2,1,2,4,1033.522246,2
214,30,Entire home/apt,126,4.5,2,1,1,3,1669.243266,10
215,30,Private room,1,5,1,1,0,1,600.2194866,2
216,190,Entire home/apt,5,5,5,2,2,2,1906.268067,7
217,50,Private room,0,0,1,1,1,1,1932.24698,1
218,36,Entire home/apt,0,0,2,1,1,1,1634.307546,84
219,40,Entire home/apt,18,4.5,4,1,1,4,1781.208753,93
220,30,Entire home/apt,52,5,2,1,1,3,1220.769038,21
221,60,Entire home/apt,25,4.5,5,2,1,6,821.9172391,15
222,40,Private room,0,0,1,1,0,1,446.1620881,7
223,45,Entire home/apt,0,0,2,1,0,3,1834.546315,17
224,50,Private room,0,0,2,1,0,1,695.1414003,0
225,69,Entire home/apt,25,4.5,2,1,1,3,1535.96347,11
226,60,Entire home/apt,58,5,2,1,0,3,1556.13151,12
227,45,Entire home/apt,117,4.5,4,1,1,1,1554.094869,6
228,187,Private room,0,0,1,1,0,7,1708.026279,2
229,25,Private room,4,5,2,1,1,1,751.8083148,1
230,52,Entire home/apt,0,0,4,2,1,3,159.3305506,4
231,65,Entire home/apt,54,4.5,5,2,0,2,864.3959888,11
232,68,Private room,0,0,2,1,0,1,1542.513838,11
233,95,Entire home/apt,45,5,0,3,2,3,1203.159233,10
234,34,Entire home/apt,16,4.5,2,1,1,5,1605.531409,10
235,50,Entire home/apt,180,5,2,1,1,0,1331.313999,6
236,35,Entire home/apt,17,4.5,2,1,1,6,1579.709671,11
237,69,Private room,0,0,1,1,1,1,400.0453323,1
238,60,Entire home/apt,0,0,3,1,1,7,2026.285743,8
239,39,Entire home/apt,23,4.5,2,1,1,15,659.1430408,2
240,150,Entire home/apt,5,5,4,2,0,2,1614.575852,12
241,55,Entire home/apt,8,5,3,1,1,3,1800.571511,9
242,14,Private room,0,0,1,1,0,14,649.2209058,27
243,170,Entire home/apt,49,5,4,2,2,3,452.8132682,9
244,50,Private room,0,0,2,1,1,1,1616.778528,1
245,45,Private room,0,0,2,1,1,7,1876.888711,6
246,54,Entire home/apt,59,4.5,4,1,1,2,1038.377025,6
247,27,Private room,0,0,1,1,0,1,478.4332865,8
248,120,Entire home/apt,24,4.5,5,2,1,1,396.7800893,1
249,45,Private room,14,5,2,1,1,1,1725.513793,8
250,69,Entire home/apt,44,5,2,1,1,3,1519.430738,13
251,27,Private room,16,5,0,1,0,1,1253.466023,4
252,69,Entire home/apt,14,5,2,1,1,5,1969.213589,5
253,65,Entire home/apt,28,5,3,1,1,3,1504.032397,10
254,39,Entire home/apt,5,4,4,1,1,3,1742.088712,21
255,70,Entire home/apt,30,5,3,2,1,4,572.2206347,11
256,26,Private room,63,4.5,4,1,1,3,192.18287,1
257,65,Entire home/apt,29,4.5,2,1,1,3,1554.329425,12
258,65,Entire home/apt,78,4.5,2,1,1,3,903.1029777,10
259,55,Entire home/apt,55,5,2,1,1,3,1385.844764,6
260,69,Entire home/apt,54,4.5,4,2,1,3,244.1310505,15
261,60,Entire home/apt,28,5,2,1,1,3,1701.08906,9
262,32,Private room,28,5,2,1,0,3,1794.810872,5
263,70,Private room,0,0,2,1,1,5,394.1325042,3
264,100,Private room,0,0,1,1,1,7,733.1126834,7
265,40,Private room,33,5,2,1,2,2,665.5405195,17
266,90,Private room,1,4.5,4,1,0,5,1758.682308,11
267,34,Private room,0,0,2,1,0,3,1643.096872,14
268,65,Entire home/apt,48,4.5,2,1,1,6,464.9028815,7
269,65,Entire home/apt,21,5,3,1,1,3,1588.056331,13
270,32,Private room,4,4,1,1,1,3,1675.592938,14
271,34,Private room,3,4.5,1,1,0,5,1640.797173,14
272,40,Entire home/apt,6,4.5,2,1,1,10,1769.02753,14
273,15,Private room,29,5,1,1,0,3,1431.041251,7
274,109,Entire home/apt,1,5,2,1,0,6,610.821696,1
275,50,Entire home/apt,60,4.5,4,1,0,3,154.1099024,0
276,29,Entire home/apt,12,4.5,2,1,0,5,634.9449547,8
277,65,Entire home/apt,3,4,5,1,1,5,888.7530564,47
278,50,Entire home/apt,8,4.5,4,1,1,7,1446.314054,5
279,55,Entire home/apt,8,5,2,1,0,7,823.6027048,3
280,18,Private room,1,5,2,1,1,1,342.8163799,1
281,120,Private room,0,0,4,1,1,1,1463.766587,7
282,180,Entire home/apt,8,4.5,0,2,0,1,142.1253544,4
283,220,Entire home/apt,7,4.5,0,3,2,1,239.8191612,3
284,65,Entire home/apt,30,5,3,1,1,3,335.5919159,7
285,100,Entire home/apt,28,4.5,5,3,2,5,1541.967509,8
286,20,Private room,2,5,2,1,1,1,2079.708807,9
287,65,Entire home/apt,20,4.5,3,1,1,5,1582.998481,43
288,855,Entire home/apt,2,5,0,6,0,2,1847.38366,9
289,445,Entire home/apt,0,0,0,3,0,2,1848.774421,15
290,585,Entire home/apt,2,5,0,4,0,2,1796.874851,6
291,62,Entire home/apt,12,4.5,2,1,1,3,1651.38551,11
292,195,Entire home/apt,6,5,4,2,1,2,1809.836984,6
293,175,Entire home/apt,4,5,3,1,1,2,1812.444615,13
294,80,Entire home/apt,12,4.5,4,2,1,15,930.161909,4
295,300,Entire home/apt,3,3.5,5,3,4,4,971.6240239,9
296,130,Private room,0,0,2,1,0,1,1054.481027,9
297,150,Private room,0,0,2,1,0,1,882.8166776,11
298,30,Private room,11,4.5,1,1,1,1,193.8384225,2
299,53,Entire home/apt,3,5,3,1,0,3,488.4672543,1
300,70,Entire home/apt,8,4.5,2,1,0,5,752.8708318,6
301,85,Entire home/apt,0,0,3,1,1,1,820.7175239,22
302,60,Entire home/apt,96,5,2,1,1,2,399.3387456,3
303,100,Entire home/apt,0,0,4,2,0,3,1302.965705,2
304,51,Entire home/apt,81,4.5,2,1,1,2,1446.242287,14
305,69,Entire home/apt,0,0,4,0,1,3,996.4597415,9
306,65,Entire home/apt,55,4.5,4,2,1,3,634.8594495,30
307,145,Entire home/apt,0,0,0,3,0,5,1698.546888,56
308,11,Private room,1,4,1,1,1,7,1635.851856,5
309,10,Shared room,43,4,0,1,2,1,1440.193081,7
310,66,Private room,0,0,2,1,1,1,1907.421573,8
311,105,Entire home/apt,0,0,4,1,1,3,938.9613518,29
312,39,Entire home/apt,10,4,4,2,1,7,1536.124595,6
313,57,Entire home/apt,68,4.5,2,1,1,3,1581.451663,5
314,150,Entire home/apt,3,4,0,3,0,4,1913.781025,7
315,36,Entire home/apt,33,4.5,2,1,1,4,1135.143148,13
316,92,Entire home/apt,83,4.5,5,2,3,2,1703.638113,6
317,24,Private room,64,5,3,1,0,3,1841.470899,4
318,60,Entire home/apt,0,0,4,1,1,3,747.5399817,41
319,29,Private room,29,5,2,1,1,5,1193.844482,3
320,130,Entire home/apt,12,5,2,1,1,3,415.2393636,6
321,60,Entire home/apt,2,4.5,4,1,0,7,977.0832109,47
322,50,Entire home/apt,6,4.5,4,1,1,5,975.8715267,46
323,78,Entire home/apt,0,0,2,1,0,7,1307.359704,55
324,24,Private room,37,5,2,1,1,5,1254.582949,3
325,38,Entire home/apt,157,4.5,3,1,1,1,1533.93097,11
326,70,Entire home/apt,11,5,4,2,1,7,443.1649964,1
327,50,Private room,1,4,0,1,2,1,934.6636516,9
328,40,Entire home/apt,13,5,3,2,1,3,627.3141269,18
329,50,Private room,0,0,2,1,0,6,1285.576391,51
330,50,Entire home/apt,14,4.5,5,2,0,1,636.0582526,10
331,105,Entire home/apt,12,5,5,2,1,2,898.9714427,9
332,119,Entire home/apt,4,5,5,2,1,1,240.8948255,3
333,65,Entire home/apt,42,5,3,1,1,5,1570.834539,39
334,29,Private room,0,0,2,1,1,4,981.9330478,15
335,30,Entire home/apt,51,4.5,3,1,1,5,1358.684784,17
336,30,Entire home/apt,10,4.5,2,1,1,5,499.4475825,5
337,20,Private room,4,3.5,1,1,0,21,871.0036285,1
338,60,Private room,0,0,3,1,0,7,167.9668302,1
339,50,Private room,0,0,1,1,0,1,491.9160124,2
340,57,Entire home/apt,1,5,4,1,1,14,1767.701095,7
341,60,Entire home/apt,10,4.5,4,2,1,5,757.162243,13
342,60,Entire home/apt,171,5,3,2,1,2,1577.953502,11
343,60,Private room,4,4.5,1,1,0,1,1656.106795,5
344,360,Entire home/apt,1,4.5,0,3,2,2,1107.685885,24
345,50,Private room,4,5,2,1,1,4,802.0514837,8
346,15,Shared room,12,5,1,1,0,2,437.610993,1
347,25,Private room,0,0,2,1,1,6,554.9746014,1
348,32,Private room,9,5,4,1,0,3,1435.597635,3
349,60,Entire home/apt,22,5,3,1,1,4,1446.050678,12
350,130,Entire home/apt,0,0,5,3,0,4,1509.918525,5
351,60,Entire home/apt,5,5,4,2,0,1,1619.778947,32
352,55,Entire home/apt,0,0,4,1,1,4,1795.546527,6
353,55,Private room,0,0,4,1,1,3,1679.462856,2
354,60,Entire home/apt,32,4.5,4,1,0,4,899.1266329,9
355,40,Entire home/apt,7,4.5,2,1,1,3,753.4109232,5
356,45,Entire home/apt,0,0,4,2,1,1,1446.541217,22
357,30,Entire home/apt,10,4.5,2,1,1,7,1634.072694,10
358,45,Private room,3,4.5,2,1,1,1,881.5967569,8
359,50,Private room,8,4.5,0,1,0,1,405.3526426,3
360,550,Entire home/apt,6,4.5,0,6,0,0,277.077577,3
361,20,Private room,20,4.5,2,1,0,4,1411.20575,0
362,239,Entire home/apt,5,5,2,1,0,1,426.5222376,1
363,28,Entire home/apt,2,4.5,2,1,1,5,1611.187738,52
364,65,Entire home/apt,41,5,2,1,1,3,1592.907555,13
365,33,Private room,1,4,2,1,0,2,817.1310926,4
366,88,Private room,0,0,4,1,0,2,826.2056838,4
367,16,Private room,21,5,1,1,1,5,1209.596269,2
368,11,Shared room,12,5,3,1,1,5,1186.910788,3
369,240,Entire home/apt,54,5,0,5,3,3,1238.839612,16
370,50,Entire home/apt,37,4.5,3,1,1,4,1162.022647,12
371,60,Entire home/apt,1,5,3,1,0,6,1430.729806,9
372,150,Entire home/apt,0,0,4,2,0,5,909.1388518,36
373,39,Entire home/apt,75,4.5,0,1,1,4,1797.96682,10
374,60,Private room,6,4.5,2,1,0,1,1127.900536,4
375,26,Entire home/apt,2,4.5,3,1,1,7,432.6335086,23
376,39,Private room,22,4.5,2,1,0,1,1238.099604,5
377,55,Private room,0,0,2,1,0,2,630.2880593,7
378,65,Entire home/apt,0,0,4,1,1,5,615.098679,47
379,30,Private room,56,4.5,1,1,0,1,1282.801019,6
380,45,Private room,3,5,3,1,2,1,565.538546,0
381,30,Entire home/apt,45,4.5,2,1,1,3,645.3709705,4
382,30,Private room,8,5,1,1,1,1,959.2652252,1
383,65,Entire home/apt,39,5,2,1,1,0,186.9316694,1
384,215,Entire home/apt,18,5,0,3,0,4,1570.838417,8
385,40,Entire home/apt,7,4.5,4,1,2,3,1363.61794,8
386,50,Private room,3,5,2,1,0,1,1293.140587,5
387,60,Entire home/apt,171,5,2,1,1,0,1929.822049,7
388,65,Private room,0,0,2,1,2,1,523.6644692,0
389,19,Private room,13,5,1,1,0,2,1035.426427,2
390,100,Private room,0,0,1,1,0,1,1188.035471,1
391,75,Entire home/apt,36,4.5,2,1,1,2,718.2923053,21
392,66,Private room,0,0,2,1,0,2,957.2599614,15
393,26,Private room,34,5,2,1,0,3,1262.928318,4
394,35,Private room,0,0,1,1,1,1,1683.626855,2
395,60,Entire home/apt,42,4.5,5,1,1,2,945.5126353,7
396,37,Entire home/apt,20,4.5,2,1,1,2,472.0880046,4
397,80,Private room,0,0,2,1,0,1,1295.525151,0
398,38,Private room,16,5,2,1,1,2,972.8933707,41
399,60,Private room,0,0,1,1,0,2,1015.316366,24
400,68,Entire home/apt,5,5,3,0,1,3,1538.549923,15
401,120,Entire home/apt,12,5,5,2,0,3,1883.970221,7
402,99,Private room,2,5,2,1,1,1,903.7071564,3
403,65,Entire home/apt,0,0,2,1,1,3,915.1177517,45
404,105,Entire home/apt,29,4.5,0,2,1,3,1243.413552,52
405,25,Private room,5,4,2,1,0,1,1182.129585,9
406,54,Entire home/apt,19,5,5,2,1,2,217.0254963,1
407,45,Entire home/apt,80,5,4,1,1,2,1953.562194,8
408,45,Entire home/apt,95,5,3,1,1,2,1236.798122,7
409,40,Entire home/apt,55,4.5,4,1,0,2,517.4257044,30
410,60,Entire home/apt,16,4.5,4,2,0,4,901.6729562,7
411,25,Private room,63,5,1,1,0,1,819.206546,1
412,160,Entire home/apt,1,5,4,2,0,3,1305.721152,17
413,100,Private room,0,0,1,1,0,1,1823.743604,11
414,65,Private room,0,0,1,1,0,1,1333.828891,7
415,26,Private room,19,5,1,1,2,1,1025.357521,7
416,55,Entire home/apt,46,5,4,1,1,2,1627.877025,48
417,99,Entire home/apt,2,4.5,2,1,2,2,524.1631364,2
418,85,Entire home/apt,0,0,4,1,2,7,1174.25078,3
419,25,Entire home/apt,6,4.5,2,1,1,1,1623.066241,10
420,39,Private room,10,4.5,2,1,1,25,1656.043672,9
421,95,Entire home/apt,0,0,3,1,0,4,1196.597611,6
422,100,Entire home/apt,0,0,2,2,0,1,1212.551858,14
423,85,Entire home/apt,29,4.5,4,1,1,3,107.3791406,3
424,59,Entire home/apt,125,5,2,1,1,3,941.964658,5
425,25,Private room,5,4.5,0,1,3,4,550.0513716,5
426,50,Entire home/apt,1,5,3,1,1,10,1010.340386,8
427,199,Entire home/apt,1,5,5,2,2,2,1855.568492,5
428,150,Entire home/apt,0,0,4,2,0,4,1198.445448,11
429,40,Private room,0,0,1,1,0,1,1798.863042,14
430,125,Entire home/apt,37,5,4,2,0,2,1001.721102,6
431,70,Entire home/apt,80,5,4,2,1,2,874.6773691,9
432,50,Entire home/apt,70,5,4,1,1,1,1468.422475,9
433,90,Private room,0,0,3,1,1,1,662.1499977,3
434,67,Entire home/apt,42,5,2,1,1,5,1004.600955,6
435,50,Entire home/apt,2,4,3,1,1,3,1875.066338,8
436,25,Private room,25,4.5,0,1,6,2,1438.375041,12
437,25,Private room,62,4.5,0,1,6,2,1345.190448,11
438,38,Entire home/apt,168,4.5,3,1,1,0,787.6061058,30
439,35,Private room,159,5,2,1,1,1,350.206673,1
440,150,Private room,0,0,4,1,0,1,1304.462051,16
441,22,Private room,66,4.5,2,1,1,3,253.7494913,1
442,45,Entire home/apt,40,5,2,1,1,1,1514.911305,4
443,45,Entire home/apt,9,4.5,2,1,1,1,1179.00993,22
